Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Milk, dry, reconstituted, whole",Guideline amount per fl oz of beverage,"Milk, whole","2,5",11121100
"Milk, dry, reconstituted, whole",Guideline amount per cup of hot cereal,"Milk, whole",61,11121100
"Milk, dry, reconstituted, whole",Quantity not specified,"Milk, whole",244,11121100
"Milk, evaporated, NS as to fat content",1 cup,"Milk, whole",252,11210050
"Milk, evaporated, NS as to fat content",1 fl oz,"Milk, whole","31,5",11210050
"Milk, evaporated, NS as to fat content",Guideline amount per fl oz of beverage,"Milk, whole","2,6",11210050
"Milk, evaporated, NS as to fat content",Guideline amount per cup of hot cereal,"Milk, whole",63,11210050
"Milk, evaporated, NS as to fat content",Quantity not specified,"Milk, whole",16,11210050
"Milk, evaporated, whole",1 cup,"Milk, whole",252,11211050
"Milk, evaporated, whole",1 fl oz,"Milk, whole","31,5",11211050
"Milk, evaporated, whole",Guideline amount per fl oz of beverage,"Milk, whole","2,6",11211050
"Milk, evaporated, whole",Guideline amount per cup of hot cereal,"Milk, whole",63,11211050
"Milk, evaporated, whole",Quantity not specified,"Milk, whole",16,11211050
"Milk, evaporated, reduced fat (2%)",1 cup,"Milk, reduced fat",252,11211400
"Milk, evaporated, reduced fat (2%)",1 fl oz,"Milk, reduced fat","31,5",11211400
"Milk, evaporated, reduced fat (2%)",Guideline amount per cup of hot cereal,"Milk, reduced fat",63,11211400
"Milk, evaporated, reduced fat (2%)",Quantity not specified,"Milk, reduced fat",16,11211400
"Milk, evaporated, fat free (skim)",1 cup,"Milk, nonfat",252,11212050
"Milk, evaporated, fat free (skim)",1 fl oz,"Milk, nonfat","31,5",11212050
"Milk, evaporated, fat free (skim)",Guideline amount per fl oz of beverage,"Milk, nonfat","2,6",11212050
"Milk, evaporated, fat free (skim)",Guideline amount per cup of hot cereal,"Milk, nonfat",63,11212050
"Milk, evaporated, fat free (skim)",Quantity not specified,"Milk, nonfat",16,11212050
"Milk, condensed, sweetened",1 cup,"Flavored milk, whole",304,11220000
"Milk, condensed, sweetened",1 fl oz,"Flavored milk, whole",38,11220000
"Milk, condensed, sweetened",Quantity not specified,"Flavored milk, whole",19,11220000
"Non-dairy milk, NFS",1 cup,Plant-based milk,244,11300100
"Non-dairy milk, NFS",1 fl oz,Plant-based milk,"30,5",11300100
