Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Greens, canned, cooked",1 cup,Other dark green vegetables,175,63413010
"Kale, frozen, cooked, fat added",1 cup,Other dark green vegetables,175,63116010
"Lambsquarter, cooked",1 cup,Other dark green vegetables,185,63143010
"Green beans, raw",1 cup,String beans,100,63147110
"Green beans, fresh, cooked, no added fat",1 cup,String beans,140,63401070
"Green beans, frozen, cooked, no added fat",1 cup,String beans,140,63401010
"Green beans, canned, cooked, no added fat",1 cup,String beans,140,63311170
"Green beans, canned, reduced sodium, cooked, no added fat",1 cup,String beans,140,63402980
"Green beans, cooked, from restaurant",1 cup,String beans,145,63402990
"Green beans, NS as to form, cooked",1 cup,String beans,145,63403000
"Green beans, fresh, cooked, fat added, NS as to fat type",1 cup,String beans,145,63403010
"Green beans, frozen, cooked, fat added, NS as to fat type",1 cup,String beans,145,63403040
"Green beans, canned, cooked, fat added, NS as to fat type",1 cup,String beans,145,63402970
"Green beans, fresh, cooked with oil",1 cup,String beans,145,63403030
"Green beans, fresh, cooked with butter or margarine",1 cup,String beans,145,63311050
"Green beans, frozen, cooked with oil",1 cup,String beans,145,63402960
"Green beans, frozen, cooked with butter or margarine",1 cup,String beans,145,63403020
"Green beans, canned, cooked with oil",1 cup,String beans,145,63402950
"Green beans, canned, cooked with butter or margarine",1 cup,String beans,145,63137110
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type",1 cup,String beans,145,63137140
"Green beans, canned, reduced sodium, cooked with oil",1 cup,String beans,145,63137050
"Green beans, canned, reduced sodium, cooked with butter or margarine",1 cup,String beans,145,63137010
"Yellow string beans, cooked",1 cup,String beans,145,63137170
"Cabbage, green, raw",1 cup,Cabbage,90,63141110
"Cabbage, Chinese, raw",1 cup,Cabbage,90,63141140
"Cabbage, red, raw",1 cup,Cabbage,90,63141200
"Cabbage, green, cooked, no added fat",1 cup,Cabbage,150,63141010
"Cabbage, green, cooked, fat added, NS as to fat type",1 cup,Cabbage,155,63141170
"Cabbage, green, cooked with oil",1 cup,Cabbage,155,63129030
"Cabbage, green, cooked with butter or margarine",1 cup,Cabbage,155,63129050
"Cabbage, red, cooked",1 cup,Cabbage,155,63133010
"Cabbage, savoy, cooked",1 cup,Cabbage,155,63133100
"Cabbage, Chinese, cooked, no added fat",1 cup,Cabbage,170,63129010
"Cabbage, Chinese, cooked, fat added",1 cup,Cabbage,175,74206000
"Onions, raw",1 slice,Onions,15,74101000
"Onions, green, raw",1 whole,Onions,15,74201000
Leeks,1 whole,Onions,85,74201003
"Onions, pearl, cooked",1 cup,Onions,185,74201001
"Onions, cooked, no added fat",1 cup,Onions,210,74204500
"Onions, cooked, fat added",1 cup,Onions,215,73101010
"Onions, green, cooked",1 cup,Onions,225,73102190
"Corn, raw",1 cup,Corn,150,73102217
"Corn, fresh, cooked, no added fat",1 cup,Corn,165,73102224
"Corn, frozen, cooked, no added fat",1 cup,Corn,165,73102227
"Corn, canned, cooked, no added fat",1 cup,Corn,165,73102241
"Corn, canned, reduced sodium, cooked, no added fat",1 cup,Corn,165,73102218
"Corn, cooked, from restaurant",1 cup,Corn,170,73102225
"Corn, NS as to form, cooked",1 cup,Corn,170,73102228
"Corn, fresh, cooked, fat added, NS as to fat type",1 cup,Corn,170,73103022
"Corn, frozen, cooked, fat added, NS as to fat type",1 cup,Corn,170,73102211
"Corn, canned, cooked, fat added, NS as to fat type",1 cup,Corn,170,73102212
"Corn, fresh, cooked with oil",1 cup,Corn,170,73102213
"Corn, fresh, cooked with butter or margarine",1 cup,Corn,170,73103010
"Corn, frozen, cooked with oil",1 cup,Corn,170,73103021
"Corn, frozen, cooked with butter or margarine",1 cup,Corn,170,73102221
"Corn, canned, cooked with oil",1 cup,Corn,170,73102222
"Corn, canned, cooked with butter or margarine",1 cup,Corn,170,73102223
"Corn, canned, reduced sodium, cooked, fat added, NS as to fat type",1 cup,Corn,170,73103020
"Corn, canned, reduced sodium, cooked with oil",1 cup,Corn,170,73102220
"Corn, canned, reduced sodium, cooked with butter or margarine",1 cup,Corn,170,75122200
"Corn, creamed",1 cup,Corn,250,73303010
"Plantain, cooked, no added fat",1 slice,Other starchy vegetables,25,73303020
"Plantain, cooked with oil",1 slice,Other starchy vegetables,25,73201020
"Plantain, cooked, fat added, NS as to fat type",1 slice,Other starchy vegetables,25,75226060
"Plantain, cooked with butter or margarine",1 slice,Other starchy vegetables,25,73302010
"Breadfruit, cooked",1 piece,Other starchy vegetables,35,73409000
"Green plantain with cracklings, Puerto Rican style","1 ball (3"" dia)",Other starchy vegetables,64,73201013
"Green peas, raw",1 cup,Other starchy vegetables,145,75233220
Water Chesnut,1 cup,Other starchy vegetables,158,73401000
"Cassava, cooked",1 cup,Other starchy vegetables,160,73403000
"Taro, cooked",1 cup,Other starchy vegetables,160,73403010
"Green peas, fresh, cooked, no added fat",1 cup,Other starchy vegetables,160,73403020
"Green peas, frozen, cooked, no added fat",1 cup,Other starchy vegetables,160,73405000
"Green peas, canned, cooked, no added fat",1 cup,Other starchy vegetables,160,73405010
"Green peas, canned, reduced sodium, cooked, no added fat",1 cup,Other starchy vegetables,160,73405020
"Peas and corn, cooked, no added fat",1 cup,Other starchy vegetables,160,73406000
"Green peas, cooked, from restaurant",1 cup,Other starchy vegetables,165,73407000
"Green peas, NS as to form, cooked",1 cup,Other starchy vegetables,165,73407050
"Green peas, fresh, cooked, fat added, NS as to fat type",1 cup,Other starchy vegetables,165,73407060
"Green peas, frozen, cooked, fat added, NS as to fat type",1 cup,Other starchy vegetables,165,72201100
"Green peas, canned, cooked, fat added, NS as to fat type",1 cup,Other starchy vegetables,165,72201190
"Green peas, fresh, cooked with oil",1 cup,Other starchy vegetables,165,72201223
"Green peas, fresh, cooked with butter or margarine",1 cup,Other starchy vegetables,165,72201226
"Green peas, frozen, cooked with oil",1 cup,Other starchy vegetables,165,72203000
"Green peas, frozen, cooked with butter or margarine",1 cup,Other starchy vegetables,165,72201224
"Green peas, canned, cooked with oil",1 cup,Other starchy vegetables,165,72201227
"Green peas, canned, cooked with butter or margarine",1 cup,Other starchy vegetables,165,72103000
"Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type",1 cup,Other starchy vegetables,165,72103030
"Green peas, canned, reduced sodium, cooked with oil",1 cup,Other starchy vegetables,165,72201211
"Green peas, canned, reduced sodium, cooked with butter or margarine",1 cup,Other starchy vegetables,165,72201212
"Peas and corn, cooked, fat added",1 cup,Other starchy vegetables,165,72201221
"Lima beans and corn, cooked, no added fat",1 cup,Other starchy vegetables,175,72201222
"Lima beans, from frozen, no added fat",1 cup,Other starchy vegetables,180,72201220
"Lima beans and corn, cooked, fat added",1 cup,Other starchy vegetables,180,72203070
"Plantain, raw",1 whole,Other starchy vegetables,180,72125100
"Lima beans, from frozen, fat added",1 cup,Other starchy vegetables,185,72125217
"Lima beans, from canned",1 cup,Other starchy vegetables,185,72125224
"Blackeyed peas, from frozen",1 cup,Other starchy vegetables,185,72125227
"Blackeyed peas, from canned",1 cup,Other starchy vegetables,185,72125230
Fufu,"1 cup, cooked",Other starchy vegetables,240,72125225
Radish,1 slice,Other vegetables and combinations,1,72125228
"Peppers, jalapenos",1 slice,Other vegetables and combinations,2,72125218
"Snowpeas, fresh, cooked, no added fat",1 snow pea,Other vegetables and combinations,3,72125211
"Snowpeas, frozen, cooked, no added fat",1 snow pea,Other vegetables and combinations,3,72125212
"Snowpeas, NS as to form, cooked",1 snow pea,Other vegetables and combinations,3,72125213
"Snowpeas, fresh, cooked, fat added",1 snow pea,Other vegetables and combinations,3,72125221
"Snowpeas, frozen, cooked, fat added",1 snow pea,Other vegetables and combinations,3,72125222
"Asparagus, raw",1 piece,Other vegetables and combinations,4,72125223
"Celery, raw",1 piece,Other vegetables and combinations,4,72125220
"Asparagus, fresh, cooked, no added fat",1 piece,Other vegetables and combinations,4,72124100
"Asparagus, frozen, cooked, no added fat",1 piece,Other vegetables and combinations,4,75113080
"Asparagus, NS as to form, cooked",1 piece,Other vegetables and combinations,4,75114000
"Asparagus, fresh, cooked, fat added, NS as to fat type",1 piece,Other vegetables and combinations,4,75143050
"Asparagus, frozen, cooked, fat added, NS as to fat type",1 piece,Other vegetables and combinations,4,75143100
"Asparagus, fresh, cooked with oil",1 piece,Other vegetables and combinations,4,75143200
"Asparagus, fresh, cooked with butter or margarine",1 piece,Other vegetables and combinations,4,75143300
"Asparagus, frozen, cooked with oil",1 piece,Other vegetables and combinations,4,75113060
"Asparagus, frozen, cooked with butter or margarine",1 piece,Other vegetables and combinations,4,72116000
"Okra, frozen, cooked, no added fat",1 piece,Other vegetables and combinations,5,75143000
"Okra, frozen, cooked, fat added",1 piece,Other vegetables and combinations,5,75113000
"Mushrooms, raw",1 piece/slice,Other vegetables and combinations,6,75143350
"Mushrooms, fresh, cooked, no added fat",1 piece/slice,Other vegetables and combinations,6,72116150
"Mushrooms, NS as to form, cooked",1 piece/slice,Other vegetables and combinations,6,75220051
"Mushrooms, fresh, cooked, fat added, NS as to fat type",1 piece/slice,Other vegetables and combinations,6,27420080
"Mushrooms, canned, cooked",1 piece/slice,Other vegetables and combinations,6,72101100
"Mushrooms, fresh, cooked with oil",1 piece/slice,Other vegetables and combinations,6,72104100
"Mushrooms, fresh, cooked with butter or margarine",1 piece/slice,Other vegetables and combinations,6,72107220
"Jicama, raw",1 slice,Other vegetables and combinations,6,72110100
"Peppers, raw, NFS",1 piece,Other vegetables and combinations,10,72113100
"Peppers, sweet, green, raw",1 piece,Other vegetables and combinations,10,72119190
"Peppers, green, cooked",1 piece,Other vegetables and combinations,10,72122100
"Cucumber, raw",1 piece/slice,Other vegetables and combinations,10,72130100
"Okra, NS as to form, cooked",1 pod,Other vegetables and combinations,10,72126001
"Okra, fresh, cooked, fat added",1 pod,Other vegetables and combinations,10,72107100
"Summer squash, yellow, raw",1 slice,Other vegetables and combinations,10,72107227
"Summer squash, green, raw",1 slice,Other vegetables and combinations,10,72107230
"Beets, fresh, cooked, no added fat",1 slice,Other vegetables and combinations,10,72107231
"Beets, canned, cooked, no added fat",1 slice,Other vegetables and combinations,10,72107228
"Beets, NS as to form, cooked",1 slice,Other vegetables and combinations,10,72107211
"Beets, fresh, cooked, fat added",1 slice,Other vegetables and combinations,10,72107212
"Beets, canned, cooked, fat added",1 slice,Other vegetables and combinations,10,72107221
"Beets, canned, reduced sodium, cooked",1 slice,Other vegetables and combinations,10,72107222
"Summer squash, yellow or green, fresh, cooked, no added fat",1 slice,Other vegetables and combinations,10,72118223
"Summer squash, yellow or green, frozen, cooked, no added fat",1 slice,Other vegetables and combinations,10,72118211
"Summer squash, yellow or green, NS as to form, cooked",1 slice,Other vegetables and combinations,10,72118212
"Summer squash, yellow or green, fresh, cooked, fat added, NS as to fat type",1 slice,Other vegetables and combinations,10,72119211
"Summer squash, yellow or green, frozen, cooked, fat added, NS as to fat type",1 slice,Other vegetables and combinations,10,72119212
"Summer squash, yellow or green, canned, cooked, fat added, NS as to fat type",1 slice,Other vegetables and combinations,10,72122211
"Summer squash, yellow or green, fresh, cooked with oil",1 slice,Other vegetables and combinations,10,72122212
"Summer squash, yellow or green, fresh, cooked with butter or margarine",1 slice,Other vegetables and combinations,10,72128211
"Summer squash, yellow or green, frozen, cooked with oil",1 slice,Other vegetables and combinations,10,72128212
"Summer squash, yellow or green, frozen, cooked with butter or margarine",1 slice,Other vegetables and combinations,10,72116220
"Cauliflower, raw",1 piece,Other vegetables and combinations,13,72118222
"Cauliflower, fresh, cooked, no added fat",1 piece,Other vegetables and combinations,13,72119222
"Cauliflower, NS as to form, cooked",1 piece,Other vegetables and combinations,13,72122222
"Cauliflower, fresh, cooked, fat added, NS as to fat type",1 piece,Other vegetables and combinations,13,72128222
"Cauliflower, fresh, cooked with oil",1 piece,Other vegetables and combinations,13,72118221
"Cauliflower, fresh, cooked with butter or margarine",1 piece,Other vegetables and combinations,13,72119221
"Avocado, raw",1 slice,Other vegetables and combinations,15,72122221
"Turnip, raw",1 slice,Other vegetables and combinations,15,72128221
"Asparagus, canned, cooked, no added fat",1 spear,Other vegetables and combinations,16,72133201
"Asparagus, canned, cooked, fat added, NS as to fat type",1 spear,Other vegetables and combinations,16,72101220
"Asparagus, canned, cooked with oil",1 spear,Other vegetables and combinations,16,72104220
"Asparagus, canned, cooked with butter or margarine",1 spear,Other vegetables and combinations,16,72110221
"Alfalfa sprouts, raw",1 cup,Other vegetables and combinations,33,72113220
"Celery, cooked",1 stalk,Other vegetables and combinations,42,72118220
"Peppers, banana, raw",1 whole,Other vegetables and combinations,45,72119220
"Eggplant, cooked, no added fat",1 slice,Other vegetables and combinations,55,72120220
"Eggplant, cooked, fat added",1 slice,Other vegetables and combinations,55,72122220
"Sprouts, NFS",1 cup,Other vegetables and combinations,56,72123020
"Broccoflower, raw",1 cup,Other vegetables and combinations,64,72128220
"Snowpeas, raw",1 cup,Other vegetables and combinations,65,72130201
"Seaweed, raw",1 cup,Other vegetables and combinations,80,72132201
"Bean sprouts, raw",1 cup,Other vegetables and combinations,90,75205031
"Brussels sprouts, raw",1 cup,Other vegetables and combinations,90,75205032
"Broccoflower, cooked",1 cup,Other vegetables and combinations,90,75205033
"Seaweed, cooked, no added fat",1 cup,Other vegetables and combinations,100,75205130
"Seaweed, cooked, fat added",1 cup,Other vegetables and combinations,105,75205044
"Flowers or blossoms of sesbania, squash, or lily, cooked",1 cup,Other vegetables and combinations,109,75205047
"Bean sprouts, cooked",1 cup,Other vegetables and combinations,115,75205050
"Raw vegetable, NFS",1 cup,Other vegetables and combinations,120,75205045
"Turnip, cooked",1 whole,Other vegetables and combinations,120,75205048
"Lotus root, cooked",1 cup,Other vegetables and combinations,125,75205051
"Asian stir fry vegetables, cooked, no added fat",1 cup,Other vegetables and combinations,127,75205132
"Bitter melon, cooked",1 cup,Other vegetables and combinations,130,75205021
"Burdock, cooked",1 cup,Other vegetables and combinations,130,75205022
"Asian stir fry vegetables, cooked, fat added",1 cup,Other vegetables and combinations,132,75205023
"Beets, raw",1 cup,Other vegetables and combinations,135,75205120
"Kohlrabi, raw",1 cup,Other vegetables and combinations,135,75205131
"Salsify, cooked",1 cup,Other vegetables and combinations,140,75205030
"Peppers and onions, cooked, no added fat",1 cup,Other vegetables and combinations,140,75101800
"Mushroom, Asian, cooked, from dried",1 cup,Other vegetables and combinations,145,75205005
"Palm hearts, cooked",1 cup,Other vegetables and combinations,145,75206020
"Peppers and onions, cooked, fat added",1 cup,Other vegetables and combinations,145,75210010
Artichoke,1 cup,Other vegetables and combinations,150,75210020
"Cactus, raw",1 cup,Other vegetables and combinations,150,75103000
"Cactus, cooked, no added fat",1 cup,Other vegetables and combinations,150,75105000
"Bamboo shoots, cooked",1 cup,Other vegetables and combinations,155,75104000
"Brussels sprouts, fresh, cooked, no added fat",1 cup,Other vegetables and combinations,155,75211031
"Brussels sprouts, frozen, cooked, no added fat",1 cup,Other vegetables and combinations,155,75211032
"Cactus, cooked, fat added",1 cup,Other vegetables and combinations,155,75211020
"Broccoli and cauliflower, cooked, no added fat",1 cup,Other vegetables and combinations,155,75211030
"Broccoli, cauliflower and carrots, cooked, no added fat",1 cup,Other vegetables and combinations,155,75212020
"Peas and carrots, fresh, cooked, no added fat",1 cup,Other vegetables and combinations,160,75213020
"Peas and carrots, frozen, cooked, no added fat",1 cup,Other vegetables and combinations,160,75218400
"Peas and carrots, canned, cooked, no added fat",1 cup,Other vegetables and combinations,160,75221011
"Brussels sprouts, NS as to form, cooked",1 cup,Other vegetables and combinations,160,75221021
"Brussels sprouts, fresh, cooked, fat added",1 cup,Other vegetables and combinations,160,75221030
"Brussels sprouts, frozen, cooked, fat added",1 cup,Other vegetables and combinations,160,75117020
"Okra, fresh, cooked, no added fat",1 cup,Other vegetables and combinations,160,75117010
"Parsnips, cooked",1 cup,Other vegetables and combinations,160,75221061
"Vegetables, stew type, cooked, no added fat",1 cup,Other vegetables and combinations,160,75109600
"Broccoli and cauliflower, cooked, fat added",1 cup,Other vegetables and combinations,160,75215990
"Broccoli, cauliflower and carrots, cooked, fat added",1 cup,Other vegetables and combinations,160,75216134
"Peas and carrots, cooked, NS as to form",1 cup,Other vegetables and combinations,165,75216137
"Peas and carrots, fresh, cooked, fat added",1 cup,Other vegetables and combinations,165,75216141
"Peas and carrots, frozen, cooked, fat added",1 cup,Other vegetables and combinations,165,75216153
"Peas and carrots, canned, cooked, fat added",1 cup,Other vegetables and combinations,165,75216135
"Christophine, cooked",1 cup,Other vegetables and combinations,165,75216138
"Vegetables, stew type, cooked, fat added",1 cup,Other vegetables and combinations,165,75216142
"Kohlrabi, cooked",1 cup,Other vegetables and combinations,170,75216322
"Rutabaga, cooked",1 cup,Other vegetables and combinations,175,75216111
"Winter melon, cooked",1 cup,Other vegetables and combinations,175,75216112
"Classic mixed vegetables, frozen, cooked, no added fat",1 cup,Other vegetables and combinations,180,75216113
"Classic mixed vegetables, canned, cooked, no added fat",1 cup,Other vegetables and combinations,180,75216310
"Classic mixed vegetables, canned, reduced sodium, cooked, no added fat",1 cup,Other vegetables and combinations,180,75216321
"Cauliflower, frozen, cooked, no added fat",1 cup,Other vegetables and combinations,185,75216121
"Cucumber, cooked",1 cup,Other vegetables and combinations,185,75216122
"Classic mixed vegetables, cooked, from restaurant",1 cup,Other vegetables and combinations,185,75216123
"Classic mixed vegetables, NS as to form, cooked",1 cup,Other vegetables and combinations,185,75216320
"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",1 cup,Other vegetables and combinations,185,75216120
"Classic mixed vegetables, canned, cooked, fat added, NS as to fat type",1 cup,Other vegetables and combinations,185,75120000
"Classic mixed vegetables, frozen, cooked with oil",1 cup,Other vegetables and combinations,185,75224000
"Classic mixed vegetables, frozen, cooked with butter or margarine",1 cup,Other vegetables and combinations,185,71970200
"Classic mixed vegetables, canned, cooked with oil",1 cup,Other vegetables and combinations,185,75223022
"Classic mixed vegetables, canned, cooked with butter or margarine",1 cup,Other vegetables and combinations,185,75223023
"Classic mixed vegetables, canned, reduced sodium, cooked, fat added, NS as to fat type",1 cup,Other vegetables and combinations,185,71905100
"Classic mixed vegetables, canned, reduced sodium, cooked with oil",1 cup,Other vegetables and combinations,185,75204012
"Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine",1 cup,Other vegetables and combinations,185,75204022
"Jai, Monk's Food",1 cup,Other vegetables and combinations,188,75204023
"Cauliflower, frozen, cooked, fat added, NS as to fat type",1 cup,Other vegetables and combinations,190,71962040
"Cauliflower, frozen, cooked with oil",1 cup,Other vegetables and combinations,190,75315010
"Cauliflower, frozen, cooked with butter or margarine",1 cup,Other vegetables and combinations,190,71900100
"Fennel bulb, cooked",1 fennel bulb,Other vegetables and combinations,218,75224043
"Fennel bulb, raw",1 fennel bulb,Other vegetables and combinations,235,75224046
"Rutabaga, raw",1 whole,Other vegetables and combinations,385,75224049
"Eggplant, raw",1 whole,Other vegetables and combinations,500,75224044
"Sweet potato fries, NFS","1 fry, any cut",Fried vegetables,5,75224047
"Sweet potato fries, frozen","1 fry, any cut",Fried vegetables,5,75224050
"Sweet potato fries, from fresh","1 fry, any cut",Fried vegetables,5,75224132
"Sweet potato fries, fast food / restaurant","1 fry, any cut",Fried vegetables,5,75224021
"Sweet potato fries, school","1 fry, any cut",Fried vegetables,5,75224022
Fried okra,1 piece,Fried vegetables,8,75224023
Fried onion rings,1 ring,Fried vegetables,10,75224120
Pakora,1 pakora,Fried vegetables,12,75224131
Fried broccoli,1 floweret,Fried vegetables,13,75224031
"Pickles, fried",1 slice,Fried vegetables,14,75224032
"Fried summer squash, yellow or green",1 slice,Fried vegetables,20,75224033
Fried mushrooms,1 whole,Fried vegetables,20,75224030
Fried cauliflower,1 floweret,Fried vegetables,25,71900200
Fried green tomatoes,1 slice,Fried vegetables,35,71905000
Vegetable tempura,1 cup,Fried vegetables,63,77201210
Sweet potato tots,1 cup,Fried vegetables,130,75224130
"Sweet potato tots, fast food / restaurant",1 cup,Fried vegetables,130,75315020
"Sweet potato tots, school",1 cup,Fried vegetables,130,71905008
Yuca fries,1 cup,Fried vegetables,140,75208501
Fried green beans,1 cup,Fried vegetables,145,75301110
Fried eggplant,1 cup,Fried vegetables,220,75301120
"Cucumber salad, made with sour cream dressing",1 cup,"Coleslaw, non-lettuce salads",133,75235000
"Bean salad, yellow and/or green string beans",1 cup,"Coleslaw, non-lettuce salads",150,71930120
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",1 cup,"Coleslaw, non-lettuce salads",154,63105010
Cucumber and vegetable namasu,1 cup,"Coleslaw, non-lettuce salads",155,75100250
"Tomato and cucumber salad made with tomato, cucumber, oil, and vinegar",1 cup,"Coleslaw, non-lettuce salads",159,75100300
"Cucumber salad, made with Italian dressing",1 cup,"Coleslaw, non-lettuce salads",159,75100500
Cucumber salad made with cucumber and vinegar,1 cup,"Coleslaw, non-lettuce salads",159,75100750
"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",1 cup,"Coleslaw, non-lettuce salads",160,75100800
"Carrots, raw, salad with apples",1 cup,"Coleslaw, non-lettuce salads",171,75102500
"Carrots, raw, salad",1 cup,"Coleslaw, non-lettuce salads",175,75102600
Broccoli slaw salad,1 cup,"Coleslaw, non-lettuce salads",186,75102750
Pea salad,1 cup,"Coleslaw, non-lettuce salads",214,75105500
Pea salad with cheese,1 cup,"Coleslaw, non-lettuce salads",214,75107000
"Coleslaw, fast food / restaurant",1 cup,"Coleslaw, non-lettuce salads",220,75109010
Coleslaw,1 cup,"Coleslaw, non-lettuce salads",220,75111200
"Cabbage salad, NFS",1 cup,"Coleslaw, non-lettuce salads",220,75112000
"Coleslaw, with fruit",1 cup,"Coleslaw, non-lettuce salads",220,75115000
"Lettuce, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,8,75122000
"Cucumber, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,10,75127000
"Pepper, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,10,75129000
"Spinach, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,10,75202027
"Mushrooms, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,12,75202031
"Onions, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,15,75202034
"Tomatoes, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,20,75214027
"Avocado, for use on a sandwich",Guideline amount on regular sandwich,Vegetables on a sandwich,30,75214030
"Potato, canned, NS as to fat","1 whole, canned","White potatoes, baked or boiled",35,75219033
"Potato, canned, fat added, NS as to fat type","1 whole, canned","White potatoes, baked or boiled",35,75310990
"Potato, canned, no added fat","1 whole, canned","White potatoes, baked or boiled",35,75511050
"Potato, NFS",1 baby potato,"White potatoes, baked or boiled",60,75202032
"Potato, boiled, NFS",1 baby potato,"White potatoes, baked or boiled",60,75202035
"Potato, boiled, ready-to-heat",1 baby potato,"White potatoes, baked or boiled",60,75214031
"Potato, boiled, from fresh, peel not eaten, NS as to fat",1 baby potato,"White potatoes, baked or boiled",60,75202028
"Potato, boiled, from fresh, peel not eaten, no added fat",1 baby potato,"White potatoes, baked or boiled",60,75214028
"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",1 baby potato,"White potatoes, baked or boiled",60,75219034
"Potato, boiled, from fresh, peel not eaten, made with oil",1 baby potato,"White potatoes, baked or boiled",60,75208310
"Potato, boiled, from fresh, peel not eaten, made with butter",1 baby potato,"White potatoes, baked or boiled",60,75127500
"Potato, boiled, from fresh, peel not eaten, made with margarine",1 baby potato,"White potatoes, baked or boiled",60,75109000
"Potato, boiled, from fresh, peel eaten, NS as to fat",1 baby potato,"White potatoes, baked or boiled",60,75215511
"Potato, boiled, from fresh, peel eaten, fat added, NS as to fat type",1 baby potato,"White potatoes, baked or boiled",60,75235750
"Potato, boiled, from fresh,  peel eaten, no added fat",1 baby potato,"White potatoes, baked or boiled",60,73111211
"Potato, boiled, from fresh, peel eaten, made with oil",1 baby potato,"White potatoes, baked or boiled",60,73111212
"Potato, boiled, from fresh, peel eaten, made with butter",1 baby potato,"White potatoes, baked or boiled",60,73111213
"Potato, boiled, from fresh, peel eaten, made with margarine",1 baby potato,"White potatoes, baked or boiled",60,75202011
"Potato, roasted, NFS",1 baby potato,"White potatoes, baked or boiled",60,75202012
"Potato, roasted, from fresh, peel eaten, NS as to fat",1 baby potato,"White potatoes, baked or boiled",60,75202013
"Potato, roasted, from fresh, peel eaten, no added fat",1 baby potato,"White potatoes, baked or boiled",60,75208011
"Potato, roasted, from fresh, peel eaten, fat added, NS as to fat type",1 baby potato,"White potatoes, baked or boiled",60,75208013
"Potato, roasted, from fresh, peel eaten, made with oil",1 baby potato,"White potatoes, baked or boiled",60,75209011
"Potato, roasted, from fresh, peel eaten, made with butter",1 baby potato,"White potatoes, baked or boiled",60,75209012
"Potato, roasted, from fresh, peel eaten, made with margarine",1 baby potato,"White potatoes, baked or boiled",60,75214011
"Potato, roasted, from fresh, peel not eaten, NS as to fat",1 baby potato,"White potatoes, baked or boiled",60,75214012
"Potato, roasted, from fresh, peel not eaten, fat added, NS as to fat type",1 baby potato,"White potatoes, baked or boiled",60,75217010
"Potato, roasted, from fresh, peel not eaten, no added fat",1 baby potato,"White potatoes, baked or boiled",60,75219011
"Potato, roasted, from fresh, peel not eaten, made with oil",1 baby potato,"White potatoes, baked or boiled",60,75232110
"Potato, roasted, from fresh, peel not eaten, made with butter",1 baby potato,"White potatoes, baked or boiled",60,75306998
"Potato, roasted, from fresh, peel not eaten, made with margarine",1 baby potato,"White potatoes, baked or boiled",60,75330050
"Potato, roasted, ready-to-heat",1 baby potato,"White potatoes, baked or boiled",60,75330080
"Potato only from Puerto Rican mixed dishes, gravy and other components reported separately",1 small,"White potatoes, baked or boiled",97,75340010
"Potato, baked, NFS",1 small,"White potatoes, baked or boiled",230,75220011
"Potato, baked, peel not eaten",1 small,"White potatoes, baked or boiled",230,75220012
"Potato, baked, peel eaten",1 small,"White potatoes, baked or boiled",230,75231011
"Potato, baked, peel not eaten, with butter",1 small,"White potatoes, baked or boiled",260,75231012
"Potato, baked, peel not eaten, with sour cream",1 small,"White potatoes, baked or boiled",260,75311027
"Potato, baked, peel not eaten, with cheese",1 small,"White potatoes, baked or boiled",260,75311030
"Potato, baked, peel not eaten, with meat",1 small,"White potatoes, baked or boiled",260,75311028
"Potato, baked, peel not eaten, with chili",1 small,"White potatoes, baked or boiled",260,75311031
"Potato, baked, peel not eaten, with vegetables",1 small,"White potatoes, baked or boiled",260,75311122
"Potato, baked, peel eaten, with butter",1 small,"White potatoes, baked or boiled",260,75311012
"Potato, baked, peel eaten, with meat",1 small,"White potatoes, baked or boiled",260,75311013
"Potato, baked, peel eaten, with vegetables",1 small,"White potatoes, baked or boiled",260,75311110
"Potato, french fries, school","1 fry, any cut",French fries and other fried white potatoes,5,75311121
"Potato, french fries, NFS","1 fry, NS as to shape",French fries and other fried white potatoes,5,75111000
"Potato, french fries, NS as to fresh or frozen","1 fry, NS as to shape",French fries and other fried white potatoes,5,75125000
"Potato, french fries, from fresh, fried","1 fry, NS as to shape",French fries and other fried white potatoes,5,75311020
"Potato, french fries, from fresh, baked","1 fry, NS as to shape",French fries and other fried white potatoes,5,75340200
"Potato, french fries, from frozen, baked","1 fry, NS as to shape",French fries and other fried white potatoes,5,75213120
"Potato, french fries, from frozen, fried","1 fry, NS as to shape",French fries and other fried white potatoes,5,75213110
"Potato, french fries, with chili, fast food / restaurant","1 fry, any cut",French fries and other fried white potatoes,8,75226020
"Potato, french fries, with cheese","1 fry, any cut",French fries and other fried white potatoes,8,73111222
